Date,Temp,Is_HW
2019-07-10,30,1
2019-07-11,30,1
2019-07-12,30,1
2019-07-23,30,1
2019-07-24,30,1
2019-07-25,30,1
2019-07-30,31,1
2019-07-31,31,1
2019-08-01,30,1
2019-08-12,30,1
2019-08-13,31,1
2019-08-14,30,1
2019-08-15,30,1
2019-08-16,32,1
2019-08-22,30,1
2019-08-23,31,1
2019-08-24,30,1
2019-08-25,30,1
2019-08-26,31,1
2019-08-27,30,1
2019-08-31,30,1
2019-09-01,30,1
2019-09-02,30,1
2020-05-15,30,1
2020-05-16,34,1
2020-05-17,35,1
2020-05-18,34,1
2020-05-19,35,1
2020-05-20,35,1
2020-05-21,35,1
2020-07-25,30,1
2020-07-26,31,1
2020-07-27,31,1
2020-07-28,31,1
2020-07-29,32,1
2020-07-30,32,1
2020-07-31,30,1
2020-08-01,30,1
2020-08-02,30,1
2020-08-03,30,1
2020-08-29,31,1
2020-08-30,32,1
2020-08-31,32,1
2020-09-01,30,1
2020-09-02,30,1
2020-09-03,33,1
2020-09-04,35,1
2020-09-05,34,1
2020-09-06,32,1
2020-09-07,32,1
2020-09-08,31,1
2020-09-09,31,1
2020-09-10,32,1
2020-09-11,31,1
2020-09-12,32,1
2020-09-13,30,1
2020-09-14,30,1
2020-09-15,30,1
2020-09-16,31,1
2020-09-17,31,1
2020-09-18,31,1
2020-09-19,32,1
2020-09-20,30,1
2020-09-28,31,1
2020-09-29,31,1
2020-09-30,30,1
2020-10-07,31,1
2020-10-08,33,1
2020-10-09,34,1
