Date,Desc
30/09/2008,ראש השנה א'
01/10/2008,ראש השנה ב'
02/10/2008,צום גדליה
08/10/2008,ערב יום כיפור
09/10/2008,יום כיפור
13/10/2008,ערב סוכות
14/10/2008,סוכות
15/10/2008,חול המועד סוכות (1)
16/10/2008,חול המועד סוכות (2)
17/10/2008,חול המועד סוכות (3)
18/10/2008,חול המועד סוכות (4)
19/10/2008,חול המועד סוכות (5)
20/10/2008,ערב שמחת תורה
21/10/2008,שמחת תורה
22/10/2008,אסרו חג - סוכות
10/11/2008,יום הזכרון ליצחק רבין
22/12/2008,חנוכה (1)
23/12/2008,חנוכה (2)
24/12/2008,חנוכה (3)
25/12/2008,חנוכה (4)
26/12/2008,חנוכה (5)
27/12/2008,חנוכה (6)
28/12/2008,חנוכה (7)
29/12/2008,חנוכה (8)
06/01/2009,צום עשרה בטבת
27/01/2009,"יום הזכרון הבנ""ל לשואה"
09/02/2009,"ט""ו בשבט"
09/03/2009,תענית אסתר
10/03/2009,פורים
11/03/2009,שושן פורים
08/04/2009,ערב פסח
09/04/2009,פסח
10/04/2009,חול המועד פסח (1)
11/04/2009,חול המועד פסח (2)
12/04/2009,חול המועד פסח (3)
13/04/2009,חול המועד פסח (4)
14/04/2009,ערב פסח (חג שני)
15/04/2009,שביעי של פסח
16/04/2009,אסרו חג פסח
21/04/2009,יום הזכרון לשואה ולגבורה
28/04/2009,"יום הזכרון לחללי צה""ל"
29/04/2009,יום העצמאות
12/05/2009,"ל""ג בעומר"
21/05/2009,יום ירושלים
28/05/2009,ערב שבועות
29/05/2009,שבועות
30/05/2009,אסרו חג שבועות
09/07/2009,צום שבעה עשר בתמוז
30/07/2009,תשעה באב
18/09/2009,ערב ראש השנה
19/09/2009,ראש השנה א'
20/09/2009,ראש השנה ב'
21/09/2009,צום גדליה
27/09/2009,ערב יום כיפור
28/09/2009,יום כיפור
02/10/2009,ערב סוכות
03/10/2009,סוכות
04/10/2009,חול המועד סוכות (1)
05/10/2009,חול המועד סוכות (2)
06/10/2009,חול המועד סוכות (3)
07/10/2009,חול המועד סוכות (4)
08/10/2009,חול המועד סוכות (5)
09/10/2009,ערב שמחת תורה
10/10/2009,שמחת תורה
11/10/2009,אסרו חג - סוכות
29/10/2009,יום הזכרון ליצחק רבין
12/12/2009,חנוכה (1)
13/12/2009,חנוכה (2)
14/12/2009,חנוכה (3)
15/12/2009,חנוכה (4)
16/12/2009,חנוכה (5)
17/12/2009,חנוכה (6)
18/12/2009,חנוכה (7)
19/12/2009,חנוכה (8)
27/12/2009,צום עשרה בטבת
27/01/2010,"יום הזכרון הבנ""ל לשואה"
30/01/2010,"ט""ו בשבט"
25/02/2010,תענית אסתר
28/02/2010,פורים
01/03/2010,שושן פורים
29/03/2010,ערב פסח
30/03/2010,פסח
31/03/2010,חול המועד פסח (1)
01/04/2010,חול המועד פסח (2)
02/04/2010,חול המועד פסח (3)
03/04/2010,חול המועד פסח (4)
04/04/2010,ערב פסח (חג שני)
05/04/2010,שביעי של פסח
06/04/2010,אסרו חג פסח
12/04/2010,יום הזכרון לשואה ולגבורה
19/04/2010,"יום הזכרון לחללי צה""ל"
20/04/2010,יום העצמאות
02/05/2010,"ל""ג בעומר"
12/05/2010,יום ירושלים
18/05/2010,ערב שבועות
19/05/2010,שבועות
20/05/2010,אסרו חג שבועות
29/06/2010,צום שבעה עשר בתמוז
20/07/2010,תשעה באב
08/09/2010,ערב ראש השנה
09/09/2010,ראש השנה א'
10/09/2010,ראש השנה ב'
12/09/2010,צום גדליה
17/09/2010,ערב יום כיפור
18/09/2010,יום כיפור
22/09/2010,ערב סוכות
23/09/2010,סוכות
24/09/2010,חול המועד סוכות (1)
25/09/2010,חול המועד סוכות (2)
26/09/2010,חול המועד סוכות (3)
